Category,Item,Serving Size,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),Serving Size (g/ml),Calories from Protein,Calories from Carbohydrates,High Risk,Health Risk Score,% Calories from Fat,% Calories from Protein,% Calories from Carbohydrates,Cluster,New Saturated Fat,New Health Risk Score
Breakfast,Sausage McMuffin with Egg,5.7 oz (161 g),450,252.0,28.0,43,10.0,52,0.0,285,95,860,36,30,10,4,17,2,21,15,0,30,15,5.0,84,120,False,872.0,56.00000000000001,18.666666666666668,26.666666666666668,4,8.0,870.0
Breakfast,Sausage McMuffin with Egg Whites,5.7 oz (161 g),400,207.0,23.0,35,8.0,42,0.0,50,16,880,37,30,10,4,17,2,21,6,0,25,10,5.0,84,120,False,890.0,51.74999999999999,21.0,30.0,0,6.4,888.4
Breakfast,Steak & Egg McMuffin,6.5 oz (185 g),430,207.0,23.0,36,9.0,46,1.0,300,100,960,40,31,10,4,18,3,26,15,2,30,20,6.0,104,124,False,972.0,48.13953488372093,24.186046511627907,28.837209302325583,4,7.2,970.2
Breakfast,Steak & Egg Biscuit (Regular Biscuit),7.1 oz (201 g),540,288.0,32.0,49,16.0,78,1.0,280,93,1470,61,38,13,2,8,3,25,10,2,20,25,7.0,100,152,False,1489.0,53.333333333333336,18.51851851851852,28.14814814814815,4,12.8,1485.8
Breakfast,"Bacon, Egg & Cheese Bagel",6.9 oz (197 g),620,279.0,31.0,48,11.0,56,0.5,275,92,1480,62,57,19,3,11,7,30,20,15,20,20,6.0,120,228,True,1498.0,45.0,19.35483870967742,36.774193548387096,4,8.8,1495.8
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",7.1 oz (201 g),570,225.0,25.0,39,9.0,45,0.5,60,20,1480,62,55,18,3,12,8,30,10,15,20,15,7.0,120,220,False,1497.0,39.473684210526315,21.052631578947366,38.59649122807017,4,7.2,1495.2
Breakfast,"Steak, Egg & Cheese Bagel",8.5 oz (241 g),670,315.0,35.0,53,13.0,63,1.5,295,99,1510,63,56,19,3,12,7,33,20,4,25,25,8.0,132,224,True,1530.0,47.01492537313433,19.701492537313435,33.43283582089553,4,10.4,1527.4
Breakfast,Big Breakfast (Regular Biscuit),9.5 oz (269 g),740,432.0,48.0,73,17.0,87,0.0,555,185,1560,65,51,17,3,12,3,28,15,2,15,25,9.0,112,204,True,1580.0,58.37837837837838,15.135135135135137,27.56756756756757,4,13.600000000000001,1576.6
Breakfast,Big Breakfast (Large Biscuit),10 oz (283 g),800,468.0,52.0,80,18.0,90,0.0,555,185,1680,70,56,19,4,17,3,28,15,2,15,30,10.0,112,224,True,1701.0,58.5,14.000000000000002,28.000000000000004,4,14.4,1697.4
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),9.6 oz (272 g),640,333.0,37.0,57,14.0,69,0.0,35,12,1590,66,50,17,3,12,3,26,0,2,10,15,9.0,104,200,True,1607.0,52.03124999999999,16.25,31.25,4,11.200000000000001,1604.2
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),10.1 oz (286 g),690,369.0,41.0,63,14.0,72,0.0,35,12,1700,71,55,18,4,17,4,26,4,2,10,15,10.0,104,220,True,1718.0,53.47826086956522,15.072463768115943,31.88405797101449,4,11.200000000000001,1715.2
Beef & Pork,Big Mac,7.4 oz (211 g),530,243.0,27.0,42,10.0,48,1.0,85,28,960,40,47,16,3,13,9,24,6,2,25,25,7.0,96,188,False,979.0,45.84905660377358,18.11320754716981,35.471698113207545,4,8.0,977.0
Beef & Pork,Quarter Pounder Deluxe,8.6 oz (244 g),540,243.0,27.0,42,11.0,54,1.5,85,28,960,40,45,15,3,13,9,29,10,8,25,30,8.0,116,180,False,980.0,45.0,21.48148148148148,33.33333333333333,4,8.8,977.8
Beef & Pork,Double Cheeseburger,5.7 oz (161 g),430,189.0,21.0,32,10.0,52,1.0,90,30,1040,43,35,12,2,8,7,24,10,2,30,20,5.0,96,140,False,1057.0,43.95348837209303,22.325581395348838,32.55813953488372,0,8.0,1055.0
Beef & Pork,McDouble,5.2 oz (147 g),380,153.0,17.0,26,8.0,40,1.0,75,25,840,35,34,11,2,7,7,22,6,2,20,20,5.0,88,136,False,855.0,40.26315789473684,23.157894736842106,35.78947368421053,0,6.4,853.4
Beef & Pork,Bacon McDouble,5.7 oz (161 g),440,198.0,22.0,34,10.0,49,1.0,90,30,1110,46,35,12,2,7,7,27,6,10,20,20,5.0,108,140,False,1127.0,45.0,24.545454545454547,31.818181818181817,4,8.0,1125.0
Beef & Pork,Daily Double,6.7 oz (190 g),430,198.0,22.0,35,9.0,44,1.0,80,27,760,32,34,11,2,8,7,22,8,8,20,20,6.0,88,136,False,776.0,46.04651162790698,20.46511627906977,31.627906976744185,0,7.2,774.2
Beef & Pork,Jalapeño Double,5.6 oz (159 g),430,207.0,23.0,36,9.0,44,1.0,80,27,1030,43,35,12,2,7,6,22,6,8,20,20,5.0,88,140,False,1045.0,48.13953488372093,20.46511627906977,32.55813953488372,0,7.2,1043.2
Chicken & Fish,Premium Grilled Chicken Classic Sandwich,7 oz (200 g),350,81.0,9.0,13,2.0,9,0.0,65,22,820,34,42,14,3,13,8,28,4,8,15,20,7.0,112,168,False,830.0,23.142857142857142,32.0,48.0,0,1.6,829.6
Chicken & Fish,Premium Grilled Chicken Club Sandwich,8.3 oz (235 g),510,180.0,20.0,31,7.0,36,0.0,105,35,1250,52,44,15,3,13,9,40,8,20,30,20,8.0,160,176,False,1266.0,35.294117647058826,31.372549019607842,34.509803921568626,4,5.6000000000000005,1264.6
Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,7.6 oz (217 g),450,135.0,15.0,23,4.5,22,0.0,90,30,1230,51,43,14,3,13,9,36,4,20,15,20,7.0,144,172,False,1243.5,30.0,32.0,38.22222222222222,4,3.6,1242.6
Chicken & Fish,Southern Style Crispy Chicken Sandwich,5.6 oz (160 g),430,171.0,19.0,29,3.0,15,0.0,45,14,910,38,43,14,2,7,7,21,4,2,15,15,5.0,84,172,False,920.0,39.76744186046511,19.53488372093023,40.0,0,2.4000000000000004,919.4
Chicken & Fish,Bacon Cheddar McChicken,6 oz (171 g),480,216.0,24.0,38,7.0,35,0.0,65,21,1260,53,43,14,2,8,6,22,4,10,20,15,6.0,88,172,False,1273.0,45.0,18.333333333333332,35.833333333333336,4,5.6000000000000005,1271.6
